"","Date","location","count","status","year","month","day","julian"
"210",2014-07-31,"PetrieRiver",89,"Swim","2014",7,31,212
"211",2014-08-01,"Britannia",17,"Swim","2014",8,1,213
"212",2014-08-01,"Westboro",39,"Swim","2014",8,1,213
"213",2014-08-01,"Mooneys",47,"Swim","2014",8,1,213
"214",2014-08-01,"PetrieEast",23,"Swim","2014",8,1,213
"215",2014-08-01,"PetrieRiver",57,"Swim","2014",8,1,213
"216",2014-08-02,"Britannia",19,"Swim","2014",8,2,214
"217",2014-08-02,"Westboro",24,"Swim","2014",8,2,214
"218",2014-08-02,"Mooneys",124,"Swim","2014",8,2,214
"219",2014-08-02,"PetrieEast",28,"Swim","2014",8,2,214
"220",2014-08-02,"PetrieRiver",55,"Swim","2014",8,2,214
"221",2014-08-03,"Britannia",73,"Swim","2014",8,3,215
"222",2014-08-03,"Westboro",39,"Swim","2014",8,3,215
"223",2014-08-03,"Mooneys",22,"Swim","2014",8,3,215
"224",2014-08-03,"PetrieEast",18,"Swim","2014",8,3,215
"225",2014-08-03,"PetrieRiver",19,"Swim","2014",8,3,215
"226",2014-08-04,"Britannia",26,"Swim","2014",8,4,216
"227",2014-08-04,"Westboro",17,"Swim","2014",8,4,216
"228",2014-08-04,"Mooneys",37,"Swim","2014",8,4,216
"229",2014-08-04,"PetrieEast",10,"Swim","2014",8,4,216
"230",2014-08-04,"PetrieRiver",17,"Swim","2014",8,4,216
"231",2014-08-05,"Britannia",25,"Swim","2014",8,5,217
"232",2014-08-05,"Westboro",34,"Swim","2014",8,5,217
"233",2014-08-05,"Mooneys",45,"Swim","2014",8,5,217
"234",2014-08-05,"PetrieEast",10,"Swim","2014",8,5,217
"235",2014-08-05,"PetrieRiver",34,"Swim","2014",8,5,217
"236",2014-08-06,"Britannia",23,"Swim","2014",8,6,218
"237",2014-08-06,"Westboro",22,"Swim","2014",8,6,218
"238",2014-08-06,"Mooneys",14,"Swim","2014",8,6,218
"239",2014-08-06,"PetrieEast",10,"Swim","2014",8,6,218
"240",2014-08-06,"PetrieRiver",19,"Swim","2014",8,6,218
"241",2014-08-07,"Britannia",60,"Swim","2014",8,7,219
"242",2014-08-07,"Westboro",15,"Swim","2014",8,7,219
"243",2014-08-07,"Mooneys",24,"Swim","2014",8,7,219
"244",2014-08-07,"PetrieEast",11,"Swim","2014",8,7,219
"245",2014-08-07,"PetrieRiver",22,"Swim","2014",8,7,219
"246",2014-08-08,"Britannia",53,"Swim","2014",8,8,220
"247",2014-08-08,"Westboro",27,"Swim","2014",8,8,220
"248",2014-08-08,"Mooneys",16,"Swim","2014",8,8,220
"249",2014-08-08,"PetrieEast",26,"Swim","2014",8,8,220
"250",2014-08-08,"PetrieRiver",32,"Swim","2014",8,8,220
"251",2014-08-09,"Britannia",11,"Swim","2014",8,9,221
"252",2014-08-09,"Westboro",10,"Swim","2014",8,9,221
"253",2014-08-09,"Mooneys",14,"Swim","2014",8,9,221
"254",2014-08-09,"PetrieEast",10,"Swim","2014",8,9,221
"255",2014-08-09,"PetrieRiver",41,"Swim","2014",8,9,221
"256",2014-08-10,"Britannia",14,"Swim","2014",8,10,222
"257",2014-08-10,"Westboro",16,"Swim","2014",8,10,222
"258",2014-08-10,"Mooneys",50,"Swim","2014",8,10,222
"259",2014-08-10,"PetrieEast",24,"Swim","2014",8,10,222
"260",2014-08-10,"PetrieRiver",31,"Swim","2014",8,10,222
"261",2014-08-11,"Britannia",13,"Swim","2014",8,11,223
"262",2014-08-11,"Westboro",16,"Swim","2014",8,11,223
"263",2014-08-11,"Mooneys",37,"Swim","2014",8,11,223
"264",2014-08-11,"PetrieEast",33,"Swim","2014",8,11,223
"265",2014-08-11,"PetrieRiver",40,"Swim","2014",8,11,223
"266",2014-08-12,"Britannia",18,"Rain","2014",8,12,224
"267",2014-08-12,"Westboro",43,"Rain","2014",8,12,224
"268",2014-08-12,"Mooneys",16,"Rain","2014",8,12,224
"269",2014-08-12,"PetrieEast",31,"Rain","2014",8,12,224
"270",2014-08-12,"PetrieRiver",35,"Rain","2014",8,12,224
"271",2014-08-13,"Britannia",24,"Swim","2014",8,13,225
"272",2014-08-13,"Westboro",160,"Rain","2014",8,13,225
"273",2014-08-13,"Mooneys",116,"Swim","2014",8,13,225
"274",2014-08-13,"PetrieEast",34,"Swim","2014",8,13,225
"275",2014-08-13,"PetrieRiver",156,"Rain","2014",8,13,225
"276",2014-08-14,"Britannia",71,"Swim","2014",8,14,226
"277",2014-08-14,"Westboro",77,"Swim","2014",8,14,226
"278",2014-08-14,"Mooneys",426,"NoSwim","2014",8,14,226
"279",2014-08-14,"PetrieEast",35,"Swim","2014",8,14,226
"280",2014-08-14,"PetrieRiver",422,"NoSwim","2014",8,14,226
"281",2014-08-15,"Britannia",10,"Swim","2014",8,15,227
"282",2014-08-15,"Westboro",133,"Swim","2014",8,15,227
"283",2014-08-15,"Mooneys",53,"Swim","2014",8,15,227
"284",2014-08-15,"PetrieEast",142,"Swim","2014",8,15,227
"285",2014-08-15,"PetrieRiver",115,"NoSwim","2014",8,15,227
"286",2014-08-16,"Britannia",20,"Swim","2014",8,16,228
"287",2014-08-16,"Westboro",75,"Swim","2014",8,16,228
"288",2014-08-16,"Mooneys",31,"Swim","2014",8,16,228
"289",2014-08-16,"PetrieEast",33,"Swim","2014",8,16,228
"290",2014-08-16,"PetrieRiver",35,"Swim","2014",8,16,228
"291",2015-06-19,"Britannia",17.82602458,"Swim","2015",6,19,170
"292",2015-06-19,"Westboro",66.58676704,"Swim","2015",6,19,170
"293",2015-06-19,"Mooneys",82.34304911,"Swim","2015",6,19,170
"294",2015-06-19,"PetrieEast",33.65865436,"Swim","2015",6,19,170
"295",2015-06-19,"PetrieRiver",62.15819767,"Swim","2015",6,19,170
"296",2015-06-20,"Britannia",11.48698355,"Swim","2015",6,20,171
"297",2015-06-20,"Westboro",31.29134645,"Swim","2015",6,20,171
"298",2015-06-20,"Mooneys",13.79729661,"Swim","2015",6,20,171
"299",2015-06-20,"PetrieEast",42.2733586,"Swim","2015",6,20,171
"300",2015-06-20,"PetrieRiver",63.81605689,"Swim","2015",6,20,171
"301",2015-06-21,"Britannia",10,"Swim","2015",6,21,172
"302",2015-06-21,"Westboro",37.43324423,"Swim","2015",6,21,172
"303",2015-06-21,"Mooneys",51.43520797,"Swim","2015",6,21,172
"304",2015-06-21,"PetrieEast",16.4375183,"Swim","2015",6,21,172
"305",2015-06-21,"PetrieRiver",45.80344098,"Swim","2015",6,21,172
"306",2015-06-22,"Britannia",10,"Swim","2015",6,22,173
"307",2015-06-22,"Westboro",69.48691054,"Swim","2015",6,22,173
"308",2015-06-22,"Mooneys",595.5631994,"NoSwim","2015",6,22,173
"309",2015-06-22,"PetrieEast",15.15716567,"Swim","2015",6,22,173
"310",2015-06-22,"PetrieRiver",44.25949491,"Swim","2015",6,22,173
"311",2015-06-23,"Britannia",10,"Swim","2015",6,23,174
"312",2015-06-23,"Westboro",45.35866311,"Swim","2015",6,23,174
"313",2015-06-23,"Mooneys",22.67933155,"Swim","2015",6,23,174
"314",2015-06-23,"PetrieEast",15.51845574,"Swim","2015",6,23,174
"315",2015-06-23,"PetrieRiver",25.0639078,"Swim","2015",6,23,174
