Date,Britannia ,Westboro,Mooneys,PetrieEast,PetrieRiver
2018-08-19,Swim,Swim,Swim,Swim,Swim
2018-08-20,Swim,Swim,Swim,Swim,Swim
2018-08-21,Swim,NoSwim,Swim,Swim,Swim
2018-08-22,Swim,Swim,Rain,NoSwim,Rain
2018-08-23,Swim,NoSwim,NoSwim,Swim,Rain
2018-08-24,Swim,Swim,Swim,NoSwim,NoSwim
2018-08-25,Swim,Swim,Swim,Swim,Swim
2018-08-26,Swim,Swim,Swim,NoSwim,Swim
2019-06-15,Swim,Swim,Swim,Closed,Closed
2019-06-16,Swim,Swim,Swim,Closed,Closed
2019-06-17,Swim,Swim,Swim,Closed,Closed
2019-06-18,Swim,Swim,Swim,Closed,Closed
2019-06-19,Swim,Swim,Swim,Closed,Closed
2019-06-20,Swim,Swim,Swim,Closed,Closed
2019-06-21,Swim,Swim,Swim,Closed,Closed
2019-06-22,Swim,Swim,Swim,Closed,Closed
2019-06-23,NoSwim,Swim,Swim,Closed,Closed
2019-06-24,Swim,Swim,Swim,Closed,Closed
2019-06-25,Swim,Swim,Swim,Closed,Closed
2019-06-26,Swim,Swim,Swim,Closed,Closed
2019-06-27,Swim,Swim,Swim,Closed,Closed
2019-06-28,Swim,Swim,Swim,Closed,Closed
2019-06-29,Rain,Rain,Rain,Rain,Rain
2019-06-30,Swim,NoSwim,Swim,Swim,NoSwim
2019-07-01,Swim,Swim,Swim,Swim,Swim
2019-07-02,Swim,Swim,Swim,Swim,Swim
2019-07-03,Swim,Swim,Swim,Swim,Swim
2019-07-04,Swim,Swim,Swim,Swim,Swim
2019-07-05,Swim,Swim,Swim,Swim,Swim
2019-07-06,Rain,Rain,Swim,Swim,Swim
2019-07-07,Swim,NoSwim,Swim,Swim,Swim
2019-07-08,Swim,Swim,Swim,Swim,Swim
2019-07-09,Swim,Swim,Swim,Swim,Swim
2019-07-10,NoSwim,Swim,Swim,Swim,Swim
2019-07-11,Swim,Swim,Swim,Swim,Swim
2019-07-12,Swim,Rain,Swim,Rain,Rain
2019-07-13,NoSwim,NoSwim,Swim,Swim,Swim
2019-07-14,Swim,Swim,Swim,Swim,NoSwim
2019-07-15,Swim,Swim,Swim,Swim,Swim
2019-07-16,Swim,Swim,Swim,Swim,Swim
2019-07-17,Swim,Swim,Swim,Swim,Swim
2019-07-18,Swim,Swim,Swim,Swim,Swim
2019-07-19,Swim,Swim,Swim,Swim,Swim
2019-07-20,Swim,Swim,Swim,Swim,Swim
2019-07-21,Swim,Swim,Swim,Swim,Swim
2019-07-22,NoSwim,Swim,Swim,NoSwim,NoSwim
2019-07-23,Swim,NoSwim,Swim,Swim,Swim
